Taxon,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,NBSS_slope_mean,NBSS_slope_std,NBSS_intercept_mean,NBSS_intercept_std,NBSS_r2_mean,NBSS_r2_std,PSD_slope_mean,PSD_slope_std,PSD_intercept_mean,PSD_intercept_std,PSD_r2_mean,PSD_r2_std,N_bins_min,QC_3std_dev,QC_min_n_size_bins,QC_R2
Marine_snow,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.3133160186805002,0.19837781403395965,8.190254329372596,1.433629861879495,0.9236886384051313,0.06431694402096522,-4.2065283806884075,0.49322984459413355,8.362437490382788,1.2382095483637199,0.9183944303809185,0.07746122501131453,3.0,0,1,0
Copepoda,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.915243581560254,,14.85028541320665,,0.9749305491344704,,-6.033919867860723,,15.240105496174019,,0.9775998566098141,,6.0,0,0,0
Marine_snow,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.304085950374862,,8.076887959743999,,0.9990606309906624,,-4.159406930731327,,8.180387558395443,,0.999992129267031,,3.0,0,1,0
Copepoda,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.814679896137151,0.14194124696971208,13.742004315529705,1.396275480559681,0.9512611542890318,0.011907848005292519,-5.614704130456749,0.2920409059831419,13.77730890416046,1.051636094744131,0.9606791005728419,0.009951450368054896,5.0,0,0,0
Marine_snow,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.4189965118017367,0.08090493734666852,8.72130114892522,0.5122462362645795,0.9605425331789701,0.0557989601734546,-4.490476601704826,0.38151532552918777,8.809835215831283,0.8827749798051538,0.9480185763862954,0.07037050311410653,3.0,0,1,0
Copepoda,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,3,-1.7963030779413813,0.3988801088670961,13.340739002428862,3.6406401655444505,0.866745677155427,0.09725833936138195,-5.616952592513379,1.3299014522193524,13.538445148463786,4.1324183834466695,0.8859158476360177,0.08833098085779362,4.0,0,1,0
Marine_snow,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,2,-1.0302602894311836,0.001737918179194551,5.244996668691046,0.0035668354422241618,0.7711521326777611,0.2870737545942418,-3.260635685711594,0.10877376496957375,5.0572683439922885,0.2516333022238897,0.7233016777818787,0.34502153322288875,3.0,0,1,1
Marine_snow,1.0,1997,04,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.0302602894311836,0.001737918179194551,5.244996668691046,0.0035668354422241618,0.7711521326777611,0.2870737545942418,-3.260635685711594,0.10877376496957375,5.0572683439922885,0.2516333022238897,0.7233016777818787,0.34502153322288875,3.0,0,1,1
Appendicularia,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.6236527386640103,,10.228821789130931,,0.9179960258849341,,-5.08130626938434,,10.364733129984229,,0.9621645734047592,,3.0,0,1,0
Copepoda,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,2,-2.0588286443935213,0.4646039746168057,15.567506686441355,4.164469822308092,0.9713202145274769,0.03468059996158419,-6.264148248890173,1.4255559522490584,15.450991951246817,4.400716276210738,0.9697695326715738,0.031128891365112366,4.0,0,1,0
Marine_snow,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.589467981678896,0.4411994419382005,10.411024135853792,2.942516216184231,0.9381140838169825,0.02599989696172777,-5.301937682382853,1.5648084325006975,11.357148490104299,3.701551134388692,0.949277116884885,0.02461284359908762,4.0,0,1,0
Appendicularia,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.9678765713511804,,4.834372715039731,,0.9999667431268863,,-2.7062883230226857,,3.6521173018110122,,0.9823628538369336,,3.0,0,1,0
Copepoda,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.7760828931270862,0.252350385927575,13.17609115583208,2.3437976719004796,0.9252266608990818,0.03042458464671981,-5.572971500236577,0.5781039626048267,13.413649659654993,1.9079090832141243,0.9286191915033415,0.020203903189894953,5.0,0,0,0
Copepoda,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.7760828931270862,0.252350385927575,13.17609115583208,2.3437976719004796,0.9252266608990818,0.03042458464671981,-5.572971500236577,0.5781039626048267,13.413649659654993,1.9079090832141243,0.9286191915033415,0.020203903189894953,5.0,0,0,0
Marine_snow,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.6277400598677658,0.0346554866121248,10.79469205867113,0.20890670838660116,0.9864772297414075,0.0010381123980913965,-4.964074416707648,0.10747610070299113,10.573262790799106,0.22464472322958914,0.9848092362467107,0.0034690191143896066,5.0,0,0,0
Copepoda,1.0,1997,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.5193955671527788,,11.240631060451575,,0.8691280735943254,,-4.931932362026768,,11.758107555233757,,0.8700964235410066,,5.0,0,0,0
Eumalacostraca,1.0,1997,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.9677957650925154,,5.316957050408018,,0.9888061481215993,,-1.8489123193301278,,1.4309563738817745,,0.8255001168674432,,3.0,0,1,0
Chaetognatha,1.0,1997,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.12051674065028775,,-2.1743098166758,,0.41983785300709353,,-0.33772654824210757,,-3.1420790382512256,,0.9979177113612291,,4.0,0,1,1
Copepoda,1.0,1997,09,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.523147339273732,0.20078934477544585,11.160852476633188,1.6841321908773261,0.8292288705679143,0.03594244712797742,-4.8888607563702635,0.6429236131472326,11.529103236873407,1.872424637160626,0.8594124341936761,0.02579698031096389,4.0,0,1,0
Marine_snow,1.0,1997,09,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.7460075824064836,0.04285076350378183,11.886582737246737,0.0005384564405011306,0.9777662824283249,0.002512228385254948,-5.466942502115419,0.28154983159019265,12.06899089581168,0.41218035169457784,0.9795693431165844,0.010470354158505911,4.0,1,1,0
Appendicularia,1.0,1997,10,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.191121921543505,0.09614897341118887,7.052388754436773,0.3838491715315593,0.9245227346493268,0.01311257195279684,-3.759062361754266,0.13184863873627223,6.939194481542177,0.7447011759192741,0.883838384866977,0.0772681453135007,4.0,0,1,0
Copepoda,1.0,1997,10,Mediterranean Region,43.5,7.5,0.0,60.0,3,-1.4566255837060844,0.1667625246735048,10.429061687200212,1.447071749022952,0.9460215228354428,0.051924804043327076,-4.587781270433163,0.4155432981722407,10.492294077828033,1.2610379949195252,0.9507984252382092,0.0370526487628073,5.0,0,0,0
Marine_snow,1.0,1997,10,Mediterranean Region,43.5,7.5,0.0,60.0,3,-1.4729029528025321,0.05858463860202579,9.524756933331227,0.3469001177549517,0.8742498582763297,0.1764406821993352,-4.761364346085052,0.2853908350928986,9.931928196169972,0.6558446993102163,0.8778930042665146,0.16513885385761817,4.0,0,1,0
Appendicularia,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.3490189470744104,,-0.779290552277383,,0.6061682561152426,,-1.2266958398059533,,-1.1714304740019523,,0.7345169501288176,,4.0,0,1,1
Copepoda,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.0523415692912257,0.733776860748131,6.689505874162949,6.2854103513697295,0.7854104197317354,0.2984781406648044,-3.403801230578122,2.2446205680139975,6.717290383600889,6.616905394037825,0.8339089655710568,0.23268713634365903,5.0,0,0,1
Copepoda,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.0523415692912257,0.733776860748131,6.689505874162949,6.2854103513697295,0.7854104197317354,0.2984781406648044,-3.403801230578122,2.2446205680139975,6.717290383600889,6.616905394037825,0.8339089655710568,0.23268713634365903,5.0,0,0,1
Marine_snow,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.4981920948971972,0.031740208034734464,9.596666116349596,0.24665907870368012,0.9870708534344945,0.011035318598868197,-4.74108315716832,0.1414303257328938,9.768522512121553,0.38489431072747954,0.983224409173558,0.008544353910081978,5.0,0,0,0
Appendicularia,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.0182126762784751,,5.023391915056859,,0.9617888668460874,,-3.482350519968827,,5.554615614377435,,0.9987617623430465,,4.0,0,1,0
Copepoda,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.3066819051550789,,8.988438873085109,,0.9764632862128103,,-4.226783709387286,,9.247763857730597,,0.9643506562567724,,8.0,0,0,0
Echinodermata,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.28905894026888146,,-1.5877373994287445,,0.39070961562829654,,-0.33175453203546923,,-3.7609877412569,,0.9985092619454895,,3.0,0,1,1
Hydrozoa_others,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.9422577768318599,,3.6645624234469865,,0.9165566428498064,,-2.717483660503016,,2.742013116311199,,0.7938752582661608,,3.0,0,1,0
Marine_snow,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.696185625203623,,10.808580570962544,,0.9694392432785979,,-5.495717802190712,,11.458018421232666,,0.9670673300733075,,4.0,1,1,0
Annelida,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.37691194815561535,,-0.48177139087348886,,0.8322370654206263,,-1.8282311425940556,,0.6189237528566647,,0.8136302888649015,,3.0,0,1,0
Appendicularia,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.08381459099183866,,-2.9026944815714653,,0.03227287985356753,,-0.3367996945839539,,-3.596867370059319,,0.0589619869003023,,4.0,0,1,1
Copepoda,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.6782992822269485,0.48243900005070445,11.85160437456028,3.926443998294611,0.9657845513014491,0.004208787282719487,-5.274024893646326,1.3189657942491175,12.04075831069574,3.724089231422117,0.9675668820953763,0.02147546239980714,5.0,0,0,0
Marine_snow,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.6147675484582968,0.13654761008034338,10.15091928412267,0.9532878744430352,0.9496380168167273,0.007475158052683407,-5.081322375878516,0.2757938205528572,10.330013669415822,0.6466379074833117,0.9508562188784069,0.00672238222702832,5.0,0,0,0
Appendicularia,1.0,1998,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,0.09306818349370441,,-3.8575876323480127,,0.026983755752123417,,0.49553011478749565,,-5.34858775989246,,0.1301951857456879,,4.0,0,1,1
Copepoda,1.0,1998,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.3127171481796256,,9.177705600657173,,0.9670349838634338,,-4.085539806221272,,9.00470383960528,,0.9730908505072934,,8.0,0,0,0
Marine_snow,1.0,1998,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.8258997818978409,,11.841784545563254,,0.9216865775468438,,-5.600119505919843,,11.806535530265936,,0.9307063440022575,,4.0,1,1,0
Copepoda,1.0,1998,03,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.885253532675695,,14.435249498020049,,0.9604326222886785,,-5.757879656042409,,14.306410304072154,,0.9746199289077043,,5.0,0,0,0
Marine_snow,1.0,1998,03,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.6156419818318597,,10.374889923327917,,0.9979698359759547,,-5.751769963201175,,12.292910893901533,,0.996777070844585,,3.0,0,1,0
Copepoda,1.0,1998,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.208263218471163,,16.640064515290362,,0.9200854874939093,,-7.029891163813988,,17.4458309549279,,0.9190789898794748,,5.0,0,0,0
Marine_snow,1.0,1998,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7486848219221616,,11.510199079767638,,0.9091034582400007,,-5.889373778636068,,12.81063772105432,,0.9477226445494187,,4.0,1,1,0
Copepoda,1.0,1998,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.9745334160028554,,14.550953654423001,,0.865317417146387,,-5.9152576728921895,,14.127445805203541,,0.8825018262925937,,5.0,0,0,0
Marine_snow,1.0,1998,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.4089646150581843,,9.029088719697064,,0.9370964177772372,,-4.323925986723016,,8.788475909943923,,0.9345494080827443,,4.0,0,1,0
Appendicularia,1.0,1998,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.4286920315561986,,9.154420533756578,,0.9285172280686602,,-4.241153357207749,,8.518638851588795,,0.9517831360147876,,4.0,0,1,0
Copepoda,1.0,1998,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.2057412210912544,,8.488985841587487,,0.8543474814516654,,-3.7406803454763087,,8.2138729621153,,0.8835901317380039,,5.0,0,0,0
Marine_snow,1.0,1998,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.8168613218781904,,12.60714977895014,,0.9919781496868885,,-5.983392381123819,,13.62427602688439,,0.9902946928853473,,5.0,1,0,0
Appendicularia,1.0,1998,08,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.24845840924952106,,-0.6149506084737155,,0.9603015794171883,,-0.953501229883753,,-0.8834571627317458,,0.8739704485675642,,3.0,0,1,0
Copepoda,1.0,1998,08,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.8456933777830478,,13.578060722478773,,0.903440513633464,,-5.767666783718345,,13.791398343745591,,0.927965503866104,,5.0,0,0,0
Marine_snow,1.0,1998,08,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.0991484253946675,,14.54696772546659,,0.9883597620610931,,-6.28869649088671,,14.216534270882367,,0.9934420198121269,,4.0,1,1,0
Appendicularia,1.0,1998,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.5866122191997355,,1.2868249970100583,,0.9162359685920332,,-1.2190840027112393,,-0.8579975490585703,,0.8570542854607446,,3.0,0,1,0
Copepoda,1.0,1998,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7926397775234741,,12.760731492678351,,0.9823349968469909,,-5.807256776991752,,13.518062780695763,,0.9782543243157731,,5.0,0,0,0
Marine_snow,1.0,1998,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.0849302452096627,,6.365865421366497,,0.987646805533605,,-3.495774461094503,,6.393095502560524,,0.9924077237148656,,5.0,0,0,0
Appendicularia,1.0,1998,10,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.5772109426730594,,2.3541863857701433,,0.88428506195655,,-1.9115567063245769,,2.080989872967038,,0.9236322007176061,,4.0,0,1,0
Copepoda,1.0,1998,10,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7625319415609697,,13.368726182046464,,0.9708067094638665,,-5.336519699936255,,13.04099450265225,,0.9765353877170678,,5.0,0,0,0
Marine_snow,1.0,1998,10,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7025346707590552,,11.62942299313753,,0.9871129865424713,,-5.217292821874797,,11.50004166397383,,0.9820563657439821,,4.0,1,1,0
Appendicularia,1.0,1999,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.4889870867202885,,0.05693079219365593,,0.6024346329432759,,-1.8302695124821728,,0.29765744193351473,,0.8185809726990765,,3.0,0,1,1
Copepoda,1.0,1999,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.421642682223316,,8.859060413317657,,0.9317851371192594,,-4.5835899009144425,,9.18941278070539,,0.9334434318918747,,5.0,0,0,0
Marine_snow,1.0,1999,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.9884261656521938,,4.807241694004571,,0.9059295690565379,,-3.34778560303092,,5.184764428332473,,0.9040680517655364,,5.0,0,0,0
Appendicularia,1.0,1999,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.2507395829000294,,-1.3133560527001122,,0.9410115480298964,,-0.3403414149289483,,-3.232838895550434,,0.9994689529553239,,3.0,0,1,0
Copepoda,1.0,1999,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.021632963149117,,7.0298708376109165,,0.8931353326244375,,-3.2870173061389765,,6.982838150453631,,0.9349024729780682,,5.0,0,0,0
Marine_snow,1.0,1999,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.997857374920802,,5.613704285350613,,0.8961089618530508,,-3.583134708606601,,6.563547940667757,,0.9401452485241394,,6.0,0,0,0
Copepoda,1.0,1999,03,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.029915908110996,,16.153302837769314,,0.9416172837336008,,-6.299452286519408,,16.367032010894693,,0.9442183048923536,,4.0,0,1,0
Marine_snow,1.0,1999,03,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.112044911415093,,7.385420113992409,,0.7752312624997584,,-3.3386724017954603,,6.775114046061586,,0.6764061680537161,,3.0,0,1,1
Copepoda,1.0,1999,04,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.364290311684934,,17.81640933508816,,0.9073876475487043,,-7.482419261380084,,18.61486023984804,,0.9285494151745176,,4.0,0,1,0
Marine_snow,1.0,1999,04,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.4562516046242686,,9.549906168142922,,0.9729494044383514,,-4.710082938340035,,9.959836118956058,,0.9656905437550508,,5.0,0,0,0
Copepoda,1.0,1999,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.0344829692641997,,15.948105581002611,,0.9678259616776714,,-6.4654571273481185,,16.569057200209745,,0.9662648258653859,,7.0,0,0,0
Marine_snow,1.0,1999,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.7408266398477554,,11.90526535467191,,0.9614115675743811,,-5.8293185381069055,,13.098577538711941,,0.9785099658167036,,4.0,1,1,0
Copepoda,1.0,1999,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.917545446992242,,13.73666126753635,,0.9683453810526572,,-5.873833766592312,,13.676218197667984,,0.9629193554758596,,4.0,0,1,0
Marine_snow,1.0,1999,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.0676960349499411,,6.007901098565667,,0.85178022430531,,-3.5682681227170194,,6.375419469481748,,0.9207674978104585,,5.0,0,0,0
Copepoda,1.0,1999,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.8641908234500133,,13.618969527687499,,0.8490708939577525,,-5.682758614540862,,13.446737513577961,,0.8635848867553292,,5.0,0,0,0
Marine_snow,1.0,1999,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.5625448872869756,,10.34037985094677,,0.9387576711181813,,-4.918938108402233,,10.480728648040538,,0.9352330915521074,,5.0,0,0,0
Copepoda,1.0,1999,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.6993191331936055,,12.539898059559503,,0.9935113111837353,,-5.171553329909223,,12.27513266197415,,0.99522785838768,,5.0,0,0,0
Marine_snow,1.0,1999,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.470682414217582,,9.899601368505296,,0.9959226085643075,,-4.566874065994915,,9.81319627210653,,0.994659729315412,,5.0,0,0,0
Appendicularia,1.0,1999,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.021797096869392,,13.84876490389564,,0.8431166131440724,,-6.467272377899978,,14.565514869090183,,0.833877380346942,,3.0,0,1,0
Copepoda,1.0,1999,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.8124639307409123,,13.432743245637994,,0.9412171534287945,,-5.7335543322640445,,13.796668095576461,,0.9516308040543958,,5.0,0,0,0
Marine_snow,1.0,1999,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.3593559255466885,,16.38687634545878,,0.9224097376416742,,-7.3815467374009565,,16.94727339093723,,0.9227106272811448,,4.0,1,1,0
Appendicularia,1.0,1999,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.1073777010965213,,13.268765011494569,,0.9978374671595142,,-6.455679077883318,,13.270379927927397,,0.9998794352369076,,3.0,0,1,0
Copepoda,1.0,1999,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.7913768470476468,,20.66297222298342,,0.9437207968893332,,-8.332589812848989,,20.41102140081761,,0.9540427360512459,,3.0,1,1,0
Marine_snow,1.0,1999,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.965633456530102,,13.10481495511407,,0.9880935740038973,,-6.0136806805619045,,13.056138456772409,,0.9868885900689305,,4.0,1,1,0
Copepoda,1.0,1999,11,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.5593610785763323,,10.641544716888376,,0.9623533443100745,,-4.803422063094457,,10.483502307964567,,0.9710911140200745,,6.0,0,0,0
Marine_snow,1.0,1999,11,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7369689289310022,,11.60781444964358,,0.9087639724408614,,-5.293955669418913,,11.398796494485612,,0.9032440473504213,,6.0,1,0,0
Copepoda,1.0,2000,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.6223202643700165,,4.260910849362383,,0.7693344688101378,,-2.200455408382932,,4.442532276761394,,0.6434623673528492,,3.0,0,1,1
Copepoda,1.0,2000,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.5001111163502151,,3.2957808976787484,,0.9937309528672592,,-1.8300990038476703,,3.3909427606898364,,0.9730256013168065,,3.0,0,1,0
Appendicularia,1.0,2000,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.9824093534390526,,5.310123317736837,,0.8967754349240858,,-3.050752601962414,,4.9243616926394616,,0.9568097172071144,,4.0,0,1,0
Copepoda,1.0,2000,08,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.962226832944724,0.28370226063457954,13.547514997246683,0.7299822611413913,0.9473920051230005,0.0385928359650606,-6.307299186992484,1.3880487703141464,14.301031459011515,2.2875683211101614,0.9498188227313473,0.015545396982448388,3.0,0,1,0
Marine_snow,1.0,2000,08,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.3271279735235981,0.1546743743199562,8.295289496666514,0.9700094583130214,0.9603255813583532,0.04335066407499157,-4.236545300466478,0.40860882788847164,8.434071963725843,0.8679295484886932,0.9654296851270561,0.040625801794970634,5.0,0,0,0
Marine_snow,1.0,2000,08,Mediterranean Region,43.5,7.5,30.0,60.0,2,-1.3271279735235981,0.1546743743199562,8.295289496666514,0.9700094583130214,0.9603255813583532,0.04335066407499157,-4.236545300466478,0.40860882788847164,8.434071963725843,0.8679295484886932,0.9654296851270561,0.040625801794970634,5.0,0,0,0
Copepoda,1.0,2000,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.961289785745801,,14.849833166366809,,0.9672970758698257,,-6.075857553431245,,14.98971161798718,,0.9612671777775856,,4.0,0,1,0
Marine_snow,1.0,2000,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.7850134364446124,,12.071224177021593,,0.9280497940575677,,-5.76912679481543,,12.769336270251909,,0.9239202319475548,,4.0,1,1,0
Appendicularia,1.0,2000,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.804550775296392,,11.756010861319579,,0.8033626032798793,,-5.521957154702995,,11.585267979616354,,0.798719432732221,,3.0,0,1,0
Copepoda,1.0,2000,12,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.5101071460297568,0.07351148738485916,10.320261554110985,0.7742759993505411,0.9005811538294278,0.05928732363098111,-4.766371486187912,0.13554291052674747,10.441290580156531,0.5548729585495791,0.902154331024108,0.05484350890690121,5.0,0,0,0
Marine_snow,1.0,2000,12,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.4157625680232262,0.07807385662399795,8.904666567101348,0.5075307908865963,0.9786773696365132,0.015198495638471136,-4.38367134543803,0.20935452381663347,8.744185624043748,0.4557361213077529,0.9819964632959574,0.00785791390728452,4.0,0,1,0
Actinopterygii,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,181.2615574,1,-2.098550629156672,,16.848610818997876,,0.928790070300919,,-6.512244016346868,,17.066284208396176,,0.92321455414393,,3.0,0,1,0
