Taxon,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,biovolume_size_class,normalized_biovolume_mean,normalized_biovolume_std,equivalent_circular_diameter_mean,normalized_abundance_mean,normalized_abundance_std,QC_3std_dev,QC_min_n_size_bins,QC_R2
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0130301837197569,,1827.9770239256288,0.0009292443369283,,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0069391051247727,,2299.7825984209894,0.0005431027999108,,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.002694168205696,,2895.6864471140507,0.0001883563785221,,0,1,0
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.052929782963294,,1450.068963877236,0.0042243736688106,,0,0,0
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0394931313374317,,1827.9770239256288,0.0029100020024861,,0,0,0
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0232905461155337,,2299.7825984209894,0.0017424548163807,,0,0,0
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.013343610504695,,2895.6864471140507,0.0008999249196059,,0,0,0
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0058586601882262,,3650.3424496887937,0.0003479864122269,,0,0,0
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,50950559778.40595,0.0008404980736221,,4599.565196841983,5.388262224408808e-05,,0,0,0
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,101705212071.36678,0.0007133773611101,,5791.372894228102,3.3221901490113095e-05,,0,0,0
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,203373568902.34256,0.0003181051046936,,7296.231904209181,1.537448303898701e-05,,0,0,0
Rhizaria_others,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.0012269098611644,,1450.068963877236,0.000104953383076,,0,1,0
Rhizaria_others,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0007154542206541,,1827.9770239256288,4.8907596680439776e-05,,0,1,0
Rhizaria_others,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0002413618075713,,2299.7825984209894,2.26292833296201e-05,,0,1,0
Acantharia,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,1596484088.142202,0.0026242731573452,,1450.068963877236,0.0002073159235779,,0,1,0
Acantharia,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,3198238305.1719217,0.0002972175404847,,1827.9770239256288,2.898236325104279e-05,,0,1,0
Acantharia,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,6368819972.300732,0.0001136116010409,,2299.7825984209894,8.93998961422584e-06,,0,1,0
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,12713151508.920866,0.0017559228013588,,2895.6864471140507,0.0001183384056112,,0,1,0
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,25468270205.310867,0.0016145300745248,,3650.3424496887937,0.000109314474828,,0,1,0
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,50950559778.40595,0.0006915849259485,,4599.565196841983,3.906087894425019e-05,,0,1,0
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,101705212071.36678,0.0004868954185333,,5791.372894228102,2.8900078393170445e-05,,0,1,0
Chaetognatha,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,6368819972.300732,0.0003291349274283,,2299.7825984209894,1.787997922845168e-05,,0,1,1
Chaetognatha,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,12713151508.920866,9.16822298613365e-05,,2895.6864471140507,8.268067938704444e-06,,0,1,1
Chaetognatha,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,25468270205.310867,0.0002107700560113,,3650.3424496887937,1.5275167852621222e-05,,0,1,1
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,6368819972.300732,0.0010579719910135,,2299.7825984209894,6.889907305295875e-05,,0,1,0
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,12713151508.920866,0.0019555772174596666,0.0011717406330663555,2895.6864471140507,0.0001262260822464504,7.642875712638537e-05,0,1,0
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,25468270205.310867,0.0009848212554739333,0.00070532836924469,3650.342449688794,5.9316193863290146e-05,4.5271217124724146e-05,0,1,0
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,50950559778.40595,0.00036426423217656665,0.0004077828659905799,4599.565196841983,2.1755550902787375e-05,2.4773732930067384e-05,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,1596484088.142202,0.003579625359566833,0.0006943719964663878,1450.0689638772358,0.00027854212223683334,6.731911893935958e-05,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,3198238305.1719217,0.0017757514788918332,0.0010624931928351396,1827.9770239256288,0.00013750235180314107,8.450891538742173e-05,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,6368819972.300732,0.0008684039502965666,0.0002172109519172167,2299.7825984209894,6.229662037110193e-05,1.7050112556346677e-05,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,12713151508.920866,0.00028495450978085,0.0002311880977099871,2895.6864471140507,2.1087613016304822e-05,1.694886692841825e-05,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,25468270205.310867,0.0001087524045849,,3650.3424496887937,7.637583926310611e-06,,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,1596484088.142202,0.009895315435016701,0.001948799168476022,1450.068963877236,0.00078196464796805,0.00016950709961375537,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,3198238305.1719217,0.011946595573291967,0.00901890371794146,1827.9770239256288,0.0008676359587799333,0.000635472557455197,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,6368819972.300732,0.009590704853745833,0.00624823735146787,2299.7825984209894,0.0007283313624537333,0.0004600624217204652,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,12713151508.920866,0.0022012408733263,0.0013742899830450496,2895.6864471140507,0.00015967874530477223,0.0001088917090973482,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,25468270205.310867,0.00019489245162385,0.00011812046159505705,3650.3424496887937,1.2227597719158517e-05,6.49125975732508e-06,0,1,0
Eumalacostraca,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,6368819972.300732,0.0006112178933903,,2299.7825984209894,4.4699948071129206e-05,,0,1,1
Eumalacostraca,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,12713151508.920866,0.0005820546520015,,2895.6864471140507,4.134033969352222e-05,,0,1,1
Eumalacostraca,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,25468270205.310867,0.0001335869501445,,3650.3424496887937,7.637583926310611e-06,,0,1,1
Foraminifera,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,3198238305.1719217,0.000657855287225,,1827.9770239256288,4.830393875173797e-05,,0,1,1
Foraminifera,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,6368819972.300732,0.00036310945092735,0.0001445419095269376,2299.7825984209894,2.325270914319001e-05,5.044867047522208e-06,0,1,1
Foraminifera,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,12713151508.920866,0.00020928710893035,9.613428966298709e-05,2895.6864471140507,1.2819545077600376e-05,5.256053114880267e-06,0,1,1
Foraminifera,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,25468270205.310867,0.0002165956591187,0.00015608051875517733,3650.3424496887937,1.5660778767467525e-05,1.0255838586776489e-05,0,1,1
Foraminifera,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,50950559778.40595,0.0001678685503991,8.066679255046177e-06,4599.565196841983,7.453925123976739e-06,5.06642948992999e-07,0,1,1
Foraminifera,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,101705212071.36678,0.0002424796479617,,5791.372894228102,1.312473974364398e-05,,0,1,1
Marine_snow,0.9634992925362575,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,1596484088.142202,0.05838708460298266,0.04625230830309217,1450.0689638772358,0.004774122649350167,0.0037207141876511923,0,1,0
Marine_snow,0.9634992925362575,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,3198238305.1719217,0.04181855212802136,0.033266699896515095,1827.9770239256288,0.0032096520733149,0.0025412475122237564,0,1,0
Marine_snow,0.9634992925362575,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,6368819972.300732,0.019887712292325433,0.015720482420566197,2299.7825984209894,0.0014323252330256334,0.0011475506786922769,0,1,0
Marine_snow,0.9634992925362575,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,12713151508.920866,0.0095030486160845,0.005390650118364496,2895.6864471140507,0.0006448958333102,0.00036245818454891095,0,1,0
Marine_snow,0.9634992925362575,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,25468270205.310867,0.0029363167081711498,0.000798649220827319,3650.3424496887937,0.0001940991198471,5.84741122854425e-05,0,1,0
Marine_snow,0.9634992925362575,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,50950559778.40595,0.0009165333038336499,0.0008364307381015144,4599.565196841983,5.3610478527330374e-05,4.5712268655916834e-05,0,1,0
Marine_snow,0.9634992925362575,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,101705212071.36678,0.0001791282530563,,5791.372894228102,6.56236987182199e-06,,0,1,0
Rhizaria_others,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,1596484088.142202,0.00205743001420255,0.001167688875162011,1450.068963877236,0.00016170711163879999,8.343091320112254e-05,0,1,1
Rhizaria_others,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,3198238305.1719217,0.0018509523199557664,0.0022032492894540367,1827.9770239256288,0.0001426546287735376,0.00017092795312462932,0,1,1
Rhizaria_others,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,6368819972.300732,0.001321010395592067,0.0011552744552780873,2299.7825984209894,9.029111553658969e-05,8.718356876048285e-05,0,1,1
Rhizaria_others,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,12713151508.920866,0.0004988857567078001,0.000129296582972636,2895.6864471140507,3.4324601263448906e-05,9.921752437871808e-06,0,1,1
Rhizaria_others,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,25468270205.310867,0.0001129483551009,,3650.3424496887937,7.637583926310611e-06,,0,1,1
Copepoda,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,1596484088.142202,0.0020143278265243,,1450.068963877236,0.0001601663592442,,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,3198238305.1719217,0.0016904278178981,,1827.9770239256288,0.0001492729718682,,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,6368819972.300732,0.0013804661807912,,2299.7825984209894,9.209040730234924e-05,,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,1596484088.142202,0.0062560688226481,,1450.068963877236,0.0004804990777327,,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,3198238305.1719217,0.0043711501187042,,1827.9770239256288,0.0003483036010258,,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,6368819972.300732,0.007877870679445599,0.008014096058890984,2299.7825984209894,0.0005814372072388501,0.0005618053782027677,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,12713151508.920866,0.00242482235784825,0.002219870871879163,2895.6864471140507,0.00016209115486021838,0.00016900795039773996,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,23.5,-160.5,2.0,201.0,1,25468270205.310867,0.0003850868263033,,3650.3424496887937,1.858032113067377e-05,,0,1,0
Foraminifera,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,3198238305.1719217,0.0012394442783477,,1827.9770239256288,9.951531457881864e-05,,0,1,0
Foraminifera,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,6368819972.300732,0.0008586778388308,,2299.7825984209894,4.6045203651174616e-05,,0,1,0
Foraminifera,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,12713151508.920866,0.0005554275216137,,2895.6864471140507,4.258448705953679e-05,,0,1,0
Marine_snow,0.984251968503937,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,1596484088.142202,0.0253819532653294,,1450.068963877236,0.0021355514565901,,0,1,0
Marine_snow,0.984251968503937,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,3198238305.1719217,0.00690731956779745,0.0004816507494328489,1827.9770239256288,0.0004941855314728,6.557229700215201e-05,0,1,0
Marine_snow,0.984251968503937,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,6368819972.300732,0.001743419525516,0.0010163399572052814,2299.7825984209894,0.00012471352729807148,8.409944422643e-05,0,1,0
Marine_snow,0.984251968503937,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,12713151508.920866,0.00268320290042105,0.002341370025139772,2895.6864471140507,0.00015792465646369692,0.00013800216387368957,0,1,0
Marine_snow,0.984251968503937,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,25468270205.310867,0.00102208242527725,0.0007864757913853678,3650.3424496887937,7.758611237847378e-05,5.717024810494819e-05,0,1,0
Rhizaria_others,1.0,2008,08,North Pacific Ocean,23.5,-160.5,2.0,201.0,1,3198238305.1719217,0.0013393229872561,,1827.9770239256288,9.400906910279764e-05,,0,1,1
Rhizaria_others,1.0,2008,08,North Pacific Ocean,23.5,-160.5,2.0,201.0,1,6368819972.300732,0.0002381557543168,,2299.7825984209894,2.1748746663847663e-05,,0,1,1
Rhizaria_others,1.0,2008,08,North Pacific Ocean,23.5,-160.5,2.0,201.0,1,12713151508.920866,0.0002249543089666,,2895.6864471140507,2.011413019006461e-05,,0,1,1
Acantharia,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,1596484088.142202,0.0026398835210294,,1450.068963877236,0.0002152635868242,,0,1,0
Acantharia,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,3198238305.1719217,0.0007300184790614,,1827.9770239256288,6.687429139696612e-05,,0,1,0
Acantharia,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,6368819972.300732,0.0002734465100419,,2299.7825984209894,2.0628251235726223e-05,,0,1,0
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,6368819972.300732,0.0005309984890546,,2299.7825984209894,3.094237685358934e-05,,0,1,1
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,12713151508.920866,0.0001112605900916,,2895.6864471140507,9.53892510133624e-06,,0,1,1
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,25468270205.310867,0.0001266728654632,,3650.3424496887937,8.811531493010728e-06,,0,1,1
Copepoda,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,1596484088.142202,0.00113254133749,,1450.068963877236,9.567270525523656e-05,,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,3198238305.1719217,0.0003373946262168,,1827.9770239256288,2.2291430465655377e-05,,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,6368819972.300732,0.0001100094937336,,2299.7825984209894,1.0314125617863111e-05,,0,1,0
Marine_snow,0.9830508474576272,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,1596484088.142202,0.0486001979314754,,1450.068963877236,0.0040302127088768,,0,0,0
Marine_snow,0.9830508474576272,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,3198238305.1719217,0.02276915269711,,1827.9770239256288,0.0018167515829509,,0,0,0
Marine_snow,0.9830508474576272,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,6368819972.300732,0.0059283631172868,,2299.7825984209894,0.0004331932759502,,0,0,0
Marine_snow,0.9830508474576272,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,12713151508.920866,0.0012360405081504,,2895.6864471140507,9.538925101336244e-05,,0,0,0
Marine_snow,0.9830508474576272,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,25468270205.310867,0.0004234660036844,,3650.3424496887937,2.643459447903218e-05,,0,0,0
Rhizaria_others,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,1596484088.142202,0.0007990062052175,,1450.068963877236,7.17545289414274e-05,,0,1,1
Rhizaria_others,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,3198238305.1719217,0.0003120687573604,,1827.9770239256288,2.2291430465655377e-05,,0,1,1
Rhizaria_others,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,6368819972.300732,0.0006813956436347,,2299.7825984209894,4.125650247145245e-05,,0,1,1
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,23.5,-157.5,2.0,201.0,1,12713151508.920866,0.0030034182477252,,2895.6864471140507,0.0002296937230094,,0,1,0
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,2,25468270205.310867,0.00126425737498935,0.0011603746774334568,3650.3424496887937,8.760972217168052e-05,9.055824475161701e-05,0,1,0
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,2,50950559778.40595,0.00111544323466615,0.0011804152082748114,4599.565196841983,6.378299111156626e-05,5.922777491124772e-05,0,1,0
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,1,101705212071.36678,0.0005466536863122,,5791.372894228102,3.2573929570273805e-05,,0,1,0
Collodaria_others,1.0,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,1,6368819972.300732,0.0024572868324851,,2299.7825984209894,0.0001775033091646,,0,1,1
Collodaria_others,1.0,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,1,12713151508.920866,0.0006370942934877,,2895.6864471140507,4.104057954338103e-05,,0,1,1
Collodaria_others,1.0,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,1,25468270205.310867,0.0021852354725963,,3650.3424496887937,0.0001516440711279,,0,1,1
Copepoda,1.0,2008,08,North Pacific Ocean,23.5,-157.5,2.0,201.0,2,1596484088.142202,0.00248897765265475,0.0012717759850987816,1450.068963877236,0.00022182230304685,8.189620555282509e-05,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,23.5,-157.5,2.0,201.0,2,3198238305.1719217,0.00192479314040785,0.0006828301197432155,1827.9770239256288,0.00014216877996485,5.7029041218615285e-05,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,23.5,-157.5,2.0,201.0,2,6368819972.300732,0.0010488099402624,0.0007150986248419249,2299.7825984209894,8.38748446065183e-05,5.197596904177576e-05,0,1,0
