PFT,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,NBSS_slope_mean,NBSS_slope_std,NBSS_intercept_mean,NBSS_intercept_std,NBSS_r2_mean,NBSS_r2_std,PSD_slope_mean,PSD_slope_std,PSD_intercept_mean,PSD_intercept_std,PSD_r2_mean,PSD_r2_std,N_bins_min,QC_3std_dev,QC_min_n_size_bins,QC_R2
Other_zooplankton,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.2159938613646282,,6.398579098084606,,0.8913681202661801,,-3.8492223480974688,,6.356857036169164,,0.9280500469783544,,4.0,0,1,0
Crustaceans,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.7155276881034562,0.3349505332117412,12.810825655311088,3.114364549633302,0.8980043527308847,0.0890095881348653,-5.424670141630409,1.1273997012909251,13.111351508434016,3.554889740519964,0.8973874035535625,0.08885191627057314,5.0,0,0,0
Crustaceans,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.7155276881034562,0.3349505332117412,12.810825655311088,3.114364549633302,0.8980043527308847,0.0890095881348653,-5.424670141630409,1.1273997012909251,13.111351508434016,3.554889740519964,0.8973874035535625,0.08885191627057314,5.0,0,0,0
Detritus,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.2208986038757481,0.06767985261761922,7.485182897541927,0.4365082805427448,0.9312879471149751,0.07506398946308637,-4.072990533645418,0.30437881021583413,8.010333500104732,0.740259309946808,0.9277021628321632,0.09062434647880498,4.0,0,1,0
Detritus,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.2208986038757481,0.06767985261761922,7.485182897541927,0.4365082805427448,0.9312879471149751,0.07506398946308637,-4.072990533645418,0.30437881021583413,8.010333500104732,0.740259309946808,0.9277021628321632,0.09062434647880498,4.0,0,1,0
Filter_feeder_gelatinous,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.6494234674829185,,2.337264527855122,,0.1608978192546413,,-2.475135372761829,,3.1012622538842454,,0.24830398950630517,,4.0,0,1,1
Crustaceans,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.915243581560254,,14.85028541320665,,0.9749305491344704,,-6.033919867860723,,15.240105496174019,,0.9775998566098141,,6.0,0,0,0
Detritus,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.3622008344140126,,8.520258341686887,,0.9992618045666463,,-4.184881725581298,,8.247557855931404,,0.9999871990551763,,4.0,0,1,0
Crustaceans,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.814679896137151,0.14194124696971208,13.742004315529705,1.396275480559681,0.9512611542890318,0.011907848005292519,-5.614704130456749,0.2920409059831419,13.77730890416046,1.051636094744131,0.9606791005728419,0.009951450368054896,5.0,0,0,0
Detritus,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.4189965118017367,0.08090493734666852,8.72130114892522,0.5122462362645795,0.9605425331789701,0.0557989601734546,-4.490476601704826,0.38151532552918777,8.809835215831283,0.8827749798051538,0.9480185763862954,0.07037050311410653,3.0,0,1,0
Crustaceans,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,3,-1.6637316351054736,0.18795358319586722,12.278223737398378,1.9012336312508895,0.8753270375250839,0.10431182792873156,-5.174223682258621,0.5804606814622923,12.314480591910794,2.0441171925711488,0.8911159898186729,0.0930758412326246,5.0,0,0,0
Detritus,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,3,-0.9784724420915684,0.08970760043615407,5.1831182461183465,0.10720624374444224,0.8336057463264598,0.2300152861480303,-3.1112784289056687,0.26988633988144267,5.014550318380528,0.1927022276221809,0.8070882323926695,0.28386702766326627,3.0,0,1,0
Detritus,1.0,1997,04,Mediterranean Region,43.5,7.5,0.0,30.0,3,-0.9784724420915684,0.08970760043615407,5.1831182461183465,0.10720624374444224,0.8336057463264598,0.2300152861480303,-3.1112784289056687,0.26988633988144267,5.014550318380528,0.1927022276221809,0.8070882323926695,0.28386702766326627,3.0,0,1,0
Crustaceans,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,2,-2.2170371473943216,0.6883623395588356,16.834378657222484,5.953636243687542,0.9651485577676133,0.027701096922493694,-6.753263233857023,2.117309131075202,16.801922846630397,6.309370394325425,0.9648730013124668,0.025497680406391752,5.0,1,0,0
Detritus,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.2621461966859102,0.02170346565904991,7.877886180337875,0.6398818358684328,0.8914272595471318,0.09202503702828006,-4.094828531730116,0.14230169961707145,8.13014936891182,0.8621147885677712,0.8829957288354886,0.11834888151145799,5.0,0,0,0
Filter_feeder_gelatinous,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.6236527386640103,,10.228821789130931,,0.9179960258849341,,-5.08130626938434,,10.364733129984229,,0.9621645734047592,,3.0,0,1,0
Crustaceans,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.7519558111892195,0.2752289047156956,12.988621763039037,2.5224071292007184,0.9215347734206112,0.029866143105904793,-5.499703879359194,0.6586180728173434,13.216452831107468,2.125365336596412,0.92441715371564,0.017266487129878754,5.0,0,0,0
Crustaceans,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.7519558111892195,0.2752289047156956,12.988621763039037,2.5224071292007184,0.9215347734206112,0.029866143105904793,-5.499703879359194,0.6586180728173434,13.216452831107468,2.125365336596412,0.92441715371564,0.017266487129878754,5.0,0,0,0
Detritus,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.6277400598677658,0.0346554866121248,10.79469205867113,0.20890670838660116,0.9864772297414075,0.0010381123980913965,-4.964074416707648,0.10747610070299113,10.573262790799106,0.22464472322958914,0.9848092362467107,0.0034690191143896066,5.0,1,0,0
Filter_feeder_gelatinous,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.9678765713511804,,4.834372715039731,,0.9999667431268863,,-2.7062883230226857,,3.6521173018110122,,0.9823628538369336,,3.0,0,1,0
Other_zooplankton,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.4616611111388212,,0.5202270925061359,,0.9039395555917547,,-1.3954511432793557,,-0.2884883674293879,,0.9337083108088482,,3.0,0,1,0
Crustaceans,1.0,1997,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.4580556891611407,,10.755997124526568,,0.8763917688746146,,-4.672682141898914,,11.047831364589383,,0.8831239798271979,,5.0,0,0,0
Detritus,1.0,1997,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.711299389832529,,11.33635735504159,,0.9965053658578672,,-5.296550826069274,,11.340411439417279,,0.9999960176788204,,3.0,1,1,0
Carnivorous_gelatinous,1.0,1997,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.21230385092686074,,-1.405362141992107,,0.4022958632980915,,-0.7656429706927317,,-1.8900510221788536,,0.7028044090235561,,6.0,0,0,1
Crustaceans,1.0,1997,09,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.5348192945888206,0.2055139485428559,11.265498014391312,1.7305102605435796,0.8293098052041705,0.03526279911047027,-4.922421289884568,0.6546379289965151,11.632390379556913,1.9125331171991569,0.8593770680606732,0.025278387558281153,4.0,0,1,0
Detritus,1.0,1997,09,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.7460075824064836,0.04285076350378183,11.886582737246737,0.0005384564405011306,0.9777662824283249,0.002512228385254948,-5.466942502115419,0.28154983159019265,12.06899089581168,0.41218035169457784,0.9795693431165844,0.010470354158505911,4.0,1,1,0
Crustaceans,1.0,1997,10,Mediterranean Region,43.5,7.5,0.0,60.0,3,-1.4232789229772542,0.16693917220468865,10.163210829175997,1.4021527088088108,0.9523841026413544,0.04091449008961267,-4.507660402037454,0.41333340788426765,10.271944019897916,1.2124442470174364,0.9549068573315633,0.03003017959988425,5.0,0,0,0
Detritus,1.0,1997,10,Mediterranean Region,43.5,7.5,0.0,60.0,3,-1.4729029528025321,0.05858463860202579,9.524756933331227,0.3469001177549517,0.8742498582763297,0.1764406821993352,-4.761364346085052,0.2853908350928986,9.931928196169972,0.6558446993102163,0.8778930042665146,0.16513885385761817,4.0,0,1,0
Filter_feeder_gelatinous,1.0,1997,10,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.191121921543505,0.09614897341118887,7.052388754436773,0.3838491715315593,0.9245227346493268,0.01311257195279684,-3.759062361754266,0.13184863873627223,6.939194481542177,0.7447011759192741,0.883838384866977,0.0772681453135007,4.0,0,1,0
Crustaceans,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.0507004428359497,0.7314559574575105,6.67910402932359,6.270699921324208,0.7849020162959135,0.2977591496307078,-3.3968249903290753,2.2347546744394227,6.700581713053157,6.593275765539998,0.8335133486651911,0.23212764954987986,5.0,0,0,1
Crustaceans,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.0507004428359497,0.7314559574575105,6.67910402932359,6.270699921324208,0.7849020162959135,0.2977591496307078,-3.3968249903290753,2.2347546744394227,6.700581713053157,6.593275765539998,0.8335133486651911,0.23212764954987986,5.0,0,0,1
Detritus,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.4981920948971972,0.031740208034734464,9.596666116349596,0.24665907870368012,0.9870708534344945,0.011035318598868197,-4.74108315716832,0.1414303257328938,9.768522512121553,0.38489431072747954,0.983224409173558,0.008544353910081978,5.0,0,0,0
Filter_feeder_gelatinous,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.3490189470744104,,-0.779290552277383,,0.6061682561152426,,-1.2266958398059533,,-1.1714304740019523,,0.7345169501288176,,4.0,0,1,1
Mollusca,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.4094484344429632,,-0.23598185613945644,,0.5938017525525164,,-1.2724440128449968,,-0.8650797101883976,,0.6528838695939639,,4.0,0,1,1
Carnivorous_gelatinous,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.9422577768318599,,3.6645624234469865,,0.9165566428498064,,-2.717483660503016,,2.742013116311199,,0.7938752582661608,,3.0,0,1,0
Crustaceans,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.3066819051550789,,8.988438873085109,,0.9764632862128103,,-4.226783709387286,,9.247763857730597,,0.9643506562567724,,8.0,0,0,0
Detritus,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.696185625203623,,10.808580570962544,,0.9694392432785979,,-5.495717802190712,,11.458018421232666,,0.9670673300733075,,4.0,1,1,0
Filter_feeder_gelatinous,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.0182126762784751,,5.023391915056859,,0.9617888668460874,,-3.482350519968827,,5.554615614377435,,0.9987617623430465,,4.0,0,1,0
Other_zooplankton,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.08563177935707666,,-3.078638555015147,,0.14902328915310303,,-0.33368003316465406,,-3.7561034379220777,,0.9996542451825826,,4.0,0,1,1
Crustaceans,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.6791799153298514,0.48304927911366796,11.861541982949582,3.9346534671614632,0.9651769392561471,0.003279728888545687,-5.276001251708664,1.3199769232442,12.04918557328779,3.7303683700265937,0.9669605917367855,0.020555046831687993,5.0,0,0,0
Detritus,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.6147675484582968,0.13654761008034338,10.15091928412267,0.9532878744430352,0.9496380168167273,0.007475158052683407,-5.081322375878516,0.2757938205528572,10.330013669415822,0.6466379074833117,0.9508562188784069,0.00672238222702832,5.0,1,0,0
Filter_feeder_gelatinous,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,-0.19601312104679358,0.15867268288204261,-2.0692426869907523,1.178678831480239,0.21103765624691806,0.25281157125007003,-0.5911878442598495,0.35975917137864843,-2.9143758140251554,0.9651888147486309,0.27059523905959554,0.2992946154527976,4.0,0,1,1
Filter_feeder_gelatinous,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-0.19601312104679358,0.15867268288204261,-2.0692426869907523,1.178678831480239,0.21103765624691806,0.25281157125007003,-0.5911878442598495,0.35975917137864843,-2.9143758140251554,0.9651888147486309,0.27059523905959554,0.2992946154527976,4.0,0,1,1
Other_zooplankton,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.37691194815561535,,-0.48177139087348886,,0.8322370654206263,,-1.8282311425940556,,0.6189237528566647,,0.8136302888649015,,3.0,0,1,0
Crustaceans,1.0,1998,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.312928638718099,,9.179626214312435,,0.9670091490506663,,-4.086126926735079,,9.006536110286529,,0.9730566272240224,,8.0,0,0,0
Detritus,1.0,1998,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.8258997818978409,,11.841784545563254,,0.9216865775468438,,-5.600119505919843,,11.806535530265936,,0.9307063440022575,,4.0,1,1,0
Filter_feeder_gelatinous,1.0,1998,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.20692656573685736,,-1.6260947814558944,,0.22014925704987198,,-0.5574187884624163,,-2.6391954229178687,,0.21689566352621148,,5.0,0,0,1
Crustaceans,1.0,1998,03,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.8852504087250763,,14.435682539749916,,0.960202978543044,,-5.757872431469526,,14.306743450563136,,0.9744778150518315,,5.0,0,0,0
Detritus,1.0,1998,03,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.6156419818318597,,10.374889923327917,,0.9979698359759547,,-5.751769963201175,,12.292910893901533,,0.996777070844585,,3.0,1,1,0
Crustaceans,1.0,1998,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.208263218471163,,16.640064515290362,,0.9200854874939093,,-7.029891163813988,,17.4458309549279,,0.9190789898794748,,5.0,1,0,0
Detritus,1.0,1998,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7486848219221616,,11.510199079767638,,0.9091034582400007,,-5.889373778636068,,12.81063772105432,,0.9477226445494187,,4.0,1,1,0
Crustaceans,1.0,1998,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.5831628557180268,,11.423317278674956,,0.9226258587305158,,-4.967130306983056,,11.513332899053644,,0.9266985092133331,,5.0,0,0,0
Detritus,1.0,1998,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.4089646150581843,,9.029088719697064,,0.9370964177772372,,-4.323925986723016,,8.788475909943923,,0.9345494080827443,,4.0,0,1,0
Crustaceans,1.0,1998,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.2096544012221506,,8.531358122136941,,0.8535322957478291,,-3.753974203379662,,8.262295090030463,,0.8844161475271315,,5.0,0,0,0
Detritus,1.0,1998,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.8168613218781904,,12.60714977895014,,0.9919781496868885,,-5.983392381123819,,13.62427602688439,,0.9902946928853473,,5.0,1,0,0
Filter_feeder_gelatinous,1.0,1998,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.4286920315561986,,9.154420533756578,,0.9285172280686602,,-4.241153357207749,,8.518638851588795,,0.9517831360147876,,4.0,0,1,0
Crustaceans,1.0,1998,08,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.623037451446804,,11.803339964279466,,0.9321843619578868,,-5.112486180167485,,11.989042202019998,,0.9545972353016952,,5.0,0,0,0
Detritus,1.0,1998,08,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.245365941370205,,7.9188441777950445,,0.8676426846223685,,-3.8297824416659347,,7.623163216794946,,0.8841119883386835,,5.0,0,0,0
Filter_feeder_gelatinous,1.0,1998,08,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.38859470460491724,,0.5669992774722479,,0.8552985412309217,,-1.4357301486474472,,0.5118020193847941,,0.8339311644028972,,3.0,0,1,0
Crustaceans,1.0,1998,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7968361484230237,,12.802686863030157,,0.9795865291194655,,-5.818352917606331,,13.556073580392756,,0.9759168631447346,,5.0,0,0,0
Detritus,1.0,1998,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.0849302452096627,,6.365865421366497,,0.987646805533605,,-3.495774461094503,,6.393095502560524,,0.9924077237148656,,5.0,0,0,0
Other_zooplankton,1.0,1998,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.77721677796233,,2.6312295967529753,,0.880264919504236,,-2.037815993818734,,1.1739369743388748,,0.9226870671077285,,3.0,0,1,0
Crustaceans,1.0,1998,10,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7533292309497175,,13.304654116338186,,0.9665320023672651,,-5.316076980234957,,12.992361779325766,,0.9747664422524899,,5.0,0,0,0
Detritus,1.0,1998,10,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.2937599642834994,,8.465922206746853,,0.9444278245563686,,-4.110278789047117,,8.540629659557371,,0.9549591180509855,,5.0,0,0,0
Filter_feeder_gelatinous,1.0,1998,10,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.5425084591380437,,2.108002991890682,,0.979226203193301,,-1.787055506755882,,1.7749196123688824,,0.9970309716663031,,4.0,0,1,0
Crustaceans,1.0,1999,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.421642682223316,,8.859060413317657,,0.9317851371192594,,-4.5835899009144425,,9.18941278070539,,0.9334434318918747,,5.0,0,0,0
Detritus,1.0,1999,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.9884261656521938,,4.807241694004571,,0.9059295690565379,,-3.34778560303092,,5.184764428332473,,0.9040680517655364,,5.0,0,0,0
Filter_feeder_gelatinous,1.0,1999,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.4889870867202885,,0.05693079219365593,,0.6024346329432759,,-1.8302695124821728,,0.29765744193351473,,0.8185809726990765,,3.0,0,1,1
Crustaceans,1.0,1999,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.021632963149117,,7.0298708376109165,,0.8931353326244375,,-3.2870173061389765,,6.982838150453631,,0.9349024729780682,,5.0,0,0,0
Detritus,1.0,1999,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.997857374920802,,5.613704285350613,,0.8961089618530508,,-3.583134708606601,,6.563547940667757,,0.9401452485241394,,6.0,0,0,0
Filter_feeder_gelatinous,1.0,1999,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.2507395829000294,,-1.3133560527001122,,0.9410115480298964,,-0.3403414149289483,,-3.232838895550434,,0.9994689529553239,,3.0,0,1,0
Crustaceans,1.0,1999,03,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.8720764612158327,,14.906972551279072,,0.9599649324934837,,-5.9260117735744835,,15.349133810877316,,0.9582276826905055,,4.0,0,1,0
Detritus,1.0,1999,03,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.112044911415093,,7.385420113992409,,0.7752312624997584,,-3.3386724017954603,,6.775114046061586,,0.6764061680537161,,3.0,0,1,1
Crustaceans,1.0,1999,04,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.364290311684934,,17.81640933508816,,0.9073876475487043,,-7.482419261380084,,18.61486023984804,,0.9285494151745176,,4.0,1,1,0
Detritus,1.0,1999,04,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.4562516046242686,,9.549906168142922,,0.9729494044383514,,-4.710082938340035,,9.959836118956058,,0.9656905437550508,,5.0,0,0,0
Crustaceans,1.0,1999,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.0345274263472177,,15.94851471030734,,0.9678173855395291,,-6.465616856448536,,16.569562146158102,,0.9662555287746254,,7.0,0,0,0
Detritus,1.0,1999,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.7408266398477554,,11.90526535467191,,0.9614115675743811,,-5.8293185381069055,,13.098577538711941,,0.9785099658167036,,4.0,1,1,0
Crustaceans,1.0,1999,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.8181916052055849,,12.953402259068946,,0.9784072891223117,,-5.642692321795174,,13.047112511513443,,0.9711976719250035,,4.0,0,1,0
Detritus,1.0,1999,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.0676960349499411,,6.007901098565667,,0.85178022430531,,-3.5682681227170194,,6.375419469481748,,0.9207674978104585,,5.0,0,0,0
Crustaceans,1.0,1999,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.8680876029639888,,13.653030338355082,,0.8497906062680372,,-5.694291389329226,,13.481489890782637,,0.8641208896097692,,5.0,0,0,0
Detritus,1.0,1999,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.5625448872869756,,10.34037985094677,,0.9387576711181813,,-4.918938108402233,,10.480728648040538,,0.9352330915521074,,5.0,0,0,0
Crustaceans,1.0,1999,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.7538592860247975,,13.036843962311725,,0.9864861728829263,,-5.336666013332677,,12.790649878971367,,0.98710622323505,,5.0,0,0,0
Detritus,1.0,1999,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.470682414217582,,9.899601368505296,,0.9959226085643075,,-4.566874065994915,,9.81319627210653,,0.994659729315412,,5.0,0,0,0
Crustaceans,1.0,1999,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.815731532876949,,13.460896352310177,,0.9416785205737781,,-5.7441167946042695,,13.82798288228568,,0.952123842316246,,5.0,0,0,0
Detritus,1.0,1999,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.5239332322639174,,9.921553747699907,,0.8180605582357723,,-4.626321173387444,,9.581650763562703,,0.7973791893706792,,5.0,0,0,0
Filter_feeder_gelatinous,1.0,1999,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.208911862523985,,15.438720146902469,,0.8929691339762641,,-7.028163142115406,,16.20672254881247,,0.8824862242271722,,3.0,0,1,0
Crustaceans,1.0,1999,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.791374689407228,,20.66418128107335,,0.942618122433469,,-8.3325823091472,,20.41242229254754,,0.952861057576131,,3.0,1,1,0
Detritus,1.0,1999,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.8028458304977351,,4.077808440858384,,0.6014356773766507,,-2.7251935648523253,,4.23833705076962,,0.6833220430411662,,5.0,0,0,1
Filter_feeder_gelatinous,1.0,1999,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.1073777010965213,,13.268765011494569,,0.9978374671595142,,-6.455679077883318,,13.270379927927397,,0.9998794352369076,,3.0,0,1,0
Crustaceans,1.0,1999,11,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.5608366002888383,,10.654528647997704,,0.9626202787397942,,-4.806964127086233,,10.494223609204672,,0.9712643309615028,,6.0,0,0,0
Detritus,1.0,1999,11,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7369689289310022,,11.60781444964358,,0.9087639724408614,,-5.293955669418913,,11.398796494485612,,0.9032440473504213,,6.0,1,0,0
Other_zooplankton,1.0,1999,11,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.31060713715663113,,-1.099036185722936,,0.36563738570148674,,-1.1822150909575255,,-1.2853346152943725,,0.7160984477163332,,3.0,0,1,1
Crustaceans,1.0,2000,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.6223202643700165,,4.260910849362383,,0.7693344688101378,,-2.200455408382932,,4.442532276761394,,0.6434623673528492,,3.0,0,1,1
Crustaceans,1.0,2000,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.5001111163502151,,3.2957808976787484,,0.9937309528672592,,-1.8300990038476703,,3.3909427606898364,,0.9730256013168065,,3.0,0,1,0
Crustaceans,1.0,2000,08,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.9675718730221137,0.27614323246570754,13.594845144648271,0.6630473247769468,0.9478640550686557,0.0379252565297975,-6.3245407358550905,1.36366553807633,14.353372297513312,2.2135471974349405,0.9503014834204564,0.014862811689885956,3.0,0,1,0
Detritus,1.0,2000,08,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.3271279735235981,0.1546743743199562,8.295289496666514,0.9700094583130214,0.9603255813583532,0.04335066407499157,-4.236545300466478,0.40860882788847164,8.434071963725843,0.8679295484886932,0.9654296851270561,0.040625801794970634,5.0,0,0,0
Detritus,1.0,2000,08,Mediterranean Region,43.5,7.5,30.0,60.0,2,-1.3271279735235981,0.1546743743199562,8.295289496666514,0.9700094583130214,0.9603255813583532,0.04335066407499157,-4.236545300466478,0.40860882788847164,8.434071963725843,0.8679295484886932,0.9654296851270561,0.040625801794970634,5.0,0,0,0
Filter_feeder_gelatinous,1.0,2000,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.9824093534390526,,5.310123317736837,,0.8967754349240858,,-3.050752601962414,,4.9243616926394616,,0.9568097172071144,,4.0,0,1,0
