PFT,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,biovolume_size_class,normalized_biovolume_mean,normalized_biovolume_std,equivalent_circular_diameter_mean,normalized_abundance_mean,normalized_abundance_std,QC_3std_dev,QC_min_n_size_bins,QC_R2
Detritus,0.95,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0232905461155337,,2299.7825984209894,0.0017424548163807,,0,0,0
Detritus,0.95,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.013343610504695,,2895.6864471140507,0.0008999249196059,,0,0,0
Detritus,0.95,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0058586601882262,,3650.3424496887937,0.0003479864122269,,0,0,0
Detritus,0.95,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,50950559778.40595,0.0008404980736221,,4599.565196841983,5.388262224408808e-05,,0,0,0
Detritus,0.95,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,101705212071.36678,0.0007133773611101,,5791.372894228102,3.3221901490113095e-05,,0,0,0
Detritus,0.95,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,203373568902.34256,0.0003181051046936,,7296.231904209181,1.537448303898701e-05,,0,0,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0133786149811721,,1827.9770239256288,0.0009536981352685,,0,0,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0074794447399649,,2299.7825984209894,0.0005883613665701,,0,0,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0043481582649793,,2895.6864471140507,0.0002929988110344,,0,0,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0013698159623508,,3650.3424496887937,9.666289228525107e-05,,0,0,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,50950559778.40595,0.0015856824057915,,4599.565196841983,8.980437040681348e-05,,0,0,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,101705212071.36678,0.0007422919234394,,5791.372894228102,4.983285223516964e-05,,0,0,0
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.0029884682582571,,1450.068963877236,0.000236145111921,,0,0,0
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0017183849542369,,1827.9770239256288,0.000122268991701,,0,0,0
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0015415320274621,,2299.7825984209894,0.0001131464166481,,0,0,0
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0011377508209551,,2895.6864471140507,8.371394600985468e-05,,0,0,0
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0011590933155416,,3650.3424496887937,5.7997735371150645e-05,,0,0,0
Carnivorous_gelatinous,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,6368819972.300732,0.00041601707178809996,9.167251442098492e-05,2299.7825984209894,2.325270914319001e-05,5.044867047522208e-06,0,1,0
Carnivorous_gelatinous,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,12713151508.920866,0.0002509358333577,8.199800153310011e-05,2895.6864471140507,2.192249935539224e-05,7.617468282435168e-06,0,1,0
Carnivorous_gelatinous,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,25468270205.310867,0.00018077437607540002,4.24202973779523e-05,3650.3424496887937,1.1841986804312218e-05,4.855251200600874e-06,0,1,0
Carnivorous_gelatinous,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,50950559778.40595,0.0001004606285901,,4599.565196841983,7.095674459103439e-06,,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,1596484088.142202,0.0039755309360885,0.0005567222324015601,1450.0689638772358,0.00030651979608803333,5.126744041316992e-05,0,1,1
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,3198238305.1719217,0.0022946946750823666,0.001382766306272219,1827.9770239256288,0.0001700177065499744,0.00010370795098037252,0,1,1
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,6368819972.300732,0.0011030875231017334,0.00026940817758567897,2299.7825984209894,8.01765995995536e-05,1.7490080164868633e-05,0,1,1
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,12713151508.920866,0.0006358037809794499,0.0005581618829352256,2895.6864471140507,4.630926000196187e-05,3.97441407636055e-05,0,1,1
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,25468270205.310867,0.0002423393547294,,3650.3424496887937,1.5275167852621222e-05,,0,1,1
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,101705212071.36678,0.000808430335312,,5791.372894228102,4.6573879615240566e-05,,0,1,1
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,405676930955.3644,0.000194842344078,,9184.60668727845,6.210308061568354e-06,,0,1,1
Detritus,0.9711111111111111,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,1596484088.142202,0.0585228106344532,0.046302711110632264,1450.0689638772358,0.0047848373485492,0.0037236635689811563,0,0,0
Detritus,0.9711111111111111,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,3198238305.1719217,0.041933798385847494,0.03329097733810609,1827.9770239256288,0.003219638034159967,0.0025435843025358703,0,0,0
Detritus,0.9711111111111111,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,6368819972.300732,0.019887712292325433,0.015720482420566197,2299.7825984209894,0.0014323252330256334,0.0011475506786922769,0,0,0
Detritus,0.9711111111111111,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,12713151508.920866,0.0095030486160845,0.005390650118364496,2895.6864471140507,0.0006448958333102,0.00036245818454891095,0,0,0
Detritus,0.9711111111111111,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,25468270205.310867,0.0024691530249904667,0.0009867350250259018,3650.342449688794,0.00016553594330443334,6.447616665410482e-05,0,0,0
Detritus,0.9711111111111111,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,50950559778.40595,0.0008555707778752,0.0006007973689474898,4599.565196841983,5.2526586505023135e-05,3.237792795383025e-05,0,0,0
Detritus,0.9711111111111111,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,101705212071.36678,0.0001791282530563,,5791.372894228102,6.56236987182199e-06,,0,0,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,1596484088.142202,0.009895315435016701,0.001948799168476022,1450.068963877236,0.00078196464796805,0.00016950709961375537,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,3198238305.1719217,0.012057379925040967,0.009103350984493523,1827.9770239256288,0.0008744016570416,0.0006400151022913935,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,6368819972.300732,0.010096036291212833,0.007095237363780436,2299.7825984209894,0.0007611404448598999,0.0005159803392686063,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,12713151508.920866,0.0031919959424772503,0.0024564005674237973,2895.6864471140507,0.00022711601604912668,0.00018087678436636465,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,25468270205.310867,0.0010639910038259999,0.0011723198302843127,3650.3424496887937,7.07036270963106e-05,7.838767880386989e-05,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,50950559778.40595,0.0006915849259485,,4599.565196841983,3.906087894425019e-05,,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,101705212071.36678,0.00030199393856830003,0.00026149018066936013,5791.372894228102,1.7731224132496217e-05,1.579514517161402e-05,0,1,0
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,1596484088.142202,0.0044810201590342,0.0016438800010088834,1450.0689638772358,0.0003517871492167333,0.00011770582974631029,0,0,1
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,3198238305.1719217,0.0034244102061117,0.002402938711956131,1827.9770239256288,0.00026699466969459996,0.00018837114990093634,0,0,1
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,6368819972.300732,0.0029011746611056002,0.002698154785567518,2299.7825984209894,0.00019729919969208886,0.00019431668707505935,0,0,1
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,12713151508.920866,0.0026427290805717,0.0013332429777755885,2895.6864471140507,0.00017721531690797286,8.678030304393855e-05,0,0,1
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,25468270205.310867,0.0011668678132534,0.0008826522320949241,3650.342449688794,7.230257435035788e-05,5.827236117982272e-05,0,0,1
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,50950559778.40595,0.0008979447115839333,0.0010414026971850116,4599.565196841983,4.3511101805568984e-05,4.9547465860124774e-05,0,0,1
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,101705212071.36678,0.0002424796479617,,5791.372894228102,1.312473974364398e-05,,0,0,1
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,1596484088.142202,0.0020143278265243,,1450.068963877236,0.0001601663592442,,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,3198238305.1719217,0.0021670882411877,0.0006740996352626525,1827.9770239256288,0.0001803966886747,4.401558241921175e-05,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,6368819972.300732,0.0009409217919738001,0.0006216096359305601,2299.7825984209894,6.779395031502228e-05,3.436037898909233e-05,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-160.5,2.0,201.0,1,12713151508.920866,0.0004751267811395,,2895.6864471140507,4.022826038012923e-05,,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,25468270205.310867,0.0006765692813508,,3650.3424496887937,3.933719416522646e-05,,0,1,0
Detritus,0.98,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,1596484088.142202,0.0261080094906463,,1450.068963877236,0.0021889402430048,,0,1,0
Detritus,0.98,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,3198238305.1719217,0.00690731956779745,0.0004816507494328489,1827.9770239256288,0.0004941855314728,6.557229700215201e-05,0,1,0
Detritus,0.98,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,6368819972.300732,0.0024620804012467,,2299.7825984209894,0.0001841808146046,,0,1,0
Detritus,0.98,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,12713151508.920866,0.00268320290042105,0.002341370025139772,2895.6864471140507,0.00015792465646369692,0.00013800216387368957,0,1,0
Detritus,0.98,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,25468270205.310867,0.00102208242527725,0.0007864757913853678,3650.3424496887937,7.758611237847378e-05,5.717024810494819e-05,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,1596484088.142202,0.0062560688226481,,1450.068963877236,0.0004804990777327,,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,1,3198238305.1719217,0.0043711501187042,,1827.9770239256288,0.0003483036010258,,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,6368819972.300732,0.008465112468288299,0.008844581361064568,2299.7825984209894,0.0006140603272346,0.0006079414369476822,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,12713151508.920866,0.00242482235784825,0.002219870871879163,2895.6864471140507,0.00016209115486021838,0.00016900795039773996,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,23.5,-160.5,2.0,201.0,1,25468270205.310867,0.0003850868263033,,3650.3424496887937,1.858032113067377e-05,,0,1,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,3198238305.1719217,0.00374328465827885,0.0007976265452820695,1827.9770239256288,0.0002550331746088,6.153634823666124e-05,0,1,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,6368819972.300732,0.0015780371121230999,0.000455558667335304,2299.7825984209894,0.00011256529880444533,3.616188223530665e-05,0,1,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,12713151508.920866,0.0014581817099314,0.000769527176141939,2895.6864471140507,9.404792587439693e-05,4.766682515424916e-05,0,1,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-160.5,5.0,201.0,2,25468270205.310867,0.0011628391717149501,0.00016126063826584516,3650.3424496887937,7.6497836426574e-05,3.0781092216745386e-06,0,1,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-160.5,2.0,201.0,1,50950559778.40595,0.0009091095587297,,4599.565196841983,5.178597499977248e-05,,0,1,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-160.5,2.0,201.0,1,101705212071.36678,0.0005732807370482,,5791.372894228102,3.1929191423133894e-05,,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,1596484088.142202,0.00113254133749,,1450.068963877236,9.567270525523656e-05,,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,3198238305.1719217,0.0006494633835772,,1827.9770239256288,4.4582860931310754e-05,,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,6368819972.300732,0.0005523420791728,,2299.7825984209894,4.125650247145245e-05,,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,12713151508.920866,0.0002015820774796,,2895.6864471140507,9.53892510133624e-06,,0,1,0
Detritus,0.9800000000000001,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,1596484088.142202,0.0486001979314754,,1450.068963877236,0.0040302127088768,,0,0,0
Detritus,0.9800000000000001,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,3198238305.1719217,0.02276915269711,,1827.9770239256288,0.0018167515829509,,0,0,0
Detritus,0.9800000000000001,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,6368819972.300732,0.0059283631172868,,2299.7825984209894,0.0004331932759502,,0,0,0
Detritus,0.9800000000000001,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,12713151508.920866,0.0012360405081504,,2895.6864471140507,9.538925101336244e-05,,0,0,0
Detritus,0.9800000000000001,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,25468270205.310867,0.0004234660036844,,3650.3424496887937,2.643459447903218e-05,,0,0,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,6368819972.300732,0.0201472522393723,,2299.7825984209894,0.0014542917121186,,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,12713151508.920866,0.0036729710281733,,2895.6864471140507,0.000257550977736,,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,25468270205.310867,0.0001266728654632,,3650.3424496887937,8.811531493010728e-06,,0,1,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,1596484088.142202,0.0039179227013167,,1450.068963877236,0.0003228953802364,,0,0,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,3198238305.1719217,0.0017433123323246,,1827.9770239256288,0.0001448942980267,,0,0,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,6368819972.300732,0.0014693742630328,,2299.7825984209894,9.282713056076802e-05,,0,0,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,12713151508.920866,0.0004844307225296,,2895.6864471140507,2.861677530400872e-05,,0,0,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,25468270205.310867,0.0008804454116028,,3650.3424496887937,5.286918895806437e-05,,0,0,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,50950559778.40595,0.0006318807821799,,4599.565196841983,3.2745307711856124e-05,,0,0,0
Rhizaria,1.0,2008,08,North Pacific Ocean,23.5,-159.5,2.0,201.0,1,101705212071.36678,0.0001196613499795,,5791.372894228102,7.5710498702535075e-06,,0,0,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,4,1596484088.142202,0.0027864212368875502,0.001253311527385241,1450.068963877236,0.00023508007428862498,8.446162944688465e-05,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,4,3198238305.1719217,0.001387349516985725,0.0009276694039520202,1827.9770239256288,0.0001045007254099619,7.313549640199753e-05,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-157.5,2.0,201.0,3,6368819972.300732,0.0011980147224069334,0.0008352444363431198,2299.7825984209894,8.8864346328786e-05,5.876366573730396e-05,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,1,12713151508.920866,0.000809910870092,,2895.6864471140507,4.104057954338103e-05,,0,1,0
Crustaceans,1.0,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,1,25468270205.310867,0.0005090747465138,,3650.3424496887937,3.7911017781998886e-05,,0,1,0
Detritus,0.96,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,4,1596484088.142202,0.055677777470818375,0.017887330861606477,1450.068963877236,0.004487635930440575,0.0015050751088481393,0,0,0
Detritus,0.96,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,4,3198238305.1719217,0.0428097152575618,0.01090455477839219,1827.9770239256288,0.0032400287249285753,0.0007768822942794888,0,0,0
Detritus,0.96,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,4,6368819972.300732,0.016026362093434224,0.006321076640708715,2299.7825984209894,0.001151386586637825,0.00044715275455948074,0,0,0
Detritus,0.96,2008,08,North Pacific Ocean,23.5,-157.5,1.0,201.0,4,12713151508.920866,0.009617980724463,0.003077879627267069,2895.6864471140507,0.00066366101708215,0.00020617029118848564,0,0,0
